Apoyos,Votos,Comuna,Year,Categoria,Viabilidad
12,282,Comuna 1,2017',Innovacion,Viable
4,282,Comuna 3,2017',Deportes y calidad de vida,Viable
5,280,Comuna 14,2017',Arte urbano,Viable
3,280,Comuna 2,2017',Ferias y Mercados,Viable
28,279,Comuna 3,2017',Movilidad y transito,Viable
7,278,Comuna 5,2017',Movilidad y transito,Viable
6,278,Comuna 3,2017',Plazas y parques,Viable
17,278,Comuna 13,2017',Reciclado,Viable
3,277,Comuna 11,2017',Ferias y Mercados,Viable
1,277,Comuna 11,2017',Educacion,Viable
223,276,Comuna 15,2017',Movilidad y transito,Viable
7,275,Comuna 6,2017',Cultura,Viable
6,274,Comuna 6,2017',Ferias y Mercados,Viable
2,274,Comuna 11,2017',Innovacion,Viable
1,274,Comuna 10,2017',Movilidad y transito,Viable
28,272,Comuna 9,2017',Innovacion,Viable
7,271,Comuna 2,2017',Reciclado,Viable
8,268,Comuna 8,2017',Plazas y parques,Viable
77,268,Comuna 7,2017',Movilidad y transito,Viable
107,267,Comuna 8,2017',Cultura,Viable
1,267,Comuna 15,2017',Deportes y calidad de vida,Viable
0,266,Comuna 6,2017',Movilidad y transito,Viable
5,266,Comuna 13,2017',Movilidad y transito,Viable
5,265,Comuna 14,2017',Deportes y calidad de vida,Viable
2,264,Comuna 3,2017',Educacion,Viable
4,263,Comuna 1,2017',Deportes y calidad de vida,Viable
22,262,Comuna 13,2017',Arte urbano,Viable
1,261,Comuna 7,2017',Educacion,Viable
4,260,Comuna 14,2017',Ferias y Mercados,Viable
3,260,Comuna 13,2017',Plazas y parques,Viable
0,260,Comuna 13,2017',Plazas y parques,Viable
4,259,Comuna 12,2017',Ferias y Mercados,Viable
299,258,Comuna 15,2017',Movilidad y transito,Viable
1,257,Comuna 9,2017',Educacion,Viable
314,257,Comuna 13,2017',Plazas y parques,Viable
17,256,Comuna 2,2017',Cultura,Viable
9,254,Comuna 4,2017',Deportes y calidad de vida,Viable
9,254,Comuna 10,2017',Mascotas,Viable
6,252,Comuna 13,2017',Ferias y Mercados,Viable
5,251,Comuna 8,2017',Plazas y parques,Viable
5,251,Comuna 15,2017',Movilidad y transito,Viable
2,250,Comuna 3,2017',Cultura,Viable
8,347,Comuna 13,2017',Reciclado,Sin decidir
7,248,Comuna 9,2017',Movilidad y transito,Viable
4,248,Comuna 1,2017',Reciclado,Viable
6,248,Comuna 7,2017',Plazas y parques,Viable
7,247,Comuna 1,2017',Deportes y calidad de vida,Viable
28,246,Comuna 14,2017',Ferias y Mercados,Viable
6,246,Comuna 7,2017',Plazas y parques,Viable
9,245,Comuna 4,2017',Movilidad y transito,Viable
3,245,Comuna 11,2017',Deportes y calidad de vida,Viable
8,245,Comuna 5,2017',Movilidad y transito,Viable
6,245,Comuna 15,2017',Ferias y Mercados,Viable
6,245,Comuna 7,2017',Deportes y calidad de vida,Viable
7,241,Comuna 14,2017',Cultura,Viable
5,241,Comuna 2,2017',Arte urbano,Viable
3,241,Comuna 2,2017',Arte urbano,Viable
5,240,Comuna 4,2017',Plazas y parques,Viable
12,240,Comuna 11,2017',Ferias y Mercados,Viable
134,240,Comuna 14,2017',Plazas y parques,Viable
3,240,Comuna 14,2017',Deportes y calidad de vida,Viable
6,239,Comuna 9,2017',Movilidad y transito,Viable
54,239,Comuna 8,2017',Deportes y calidad de vida,Viable
2,239,Comuna 15,2017',Movilidad y transito,Viable
5,238,Comuna 11,2017',Deportes y calidad de vida,Viable
7,238,Comuna 3,2017',Cultura,Viable
1,238,Comuna 5,2017',Ferias y Mercados,Viable
4,238,Comuna 13,2017',Movilidad y transito,Viable
8,236,Comuna 3,2017',Reciclado,Viable
7,234,Comuna 4,2017',Reciclado,Viable
1,234,Comuna 15,2017',Educacion,Viable
12,233,Comuna 13,2017',Reciclado,Viable
7,232,Comuna 11,2017',Movilidad y transito,Viable
4,232,Comuna 12,2017',Deportes y calidad de vida,Viable
8,301,Comuna 2,2017',Reciclado,Inviable
5,230,Comuna 10,2017',Movilidad y transito,Viable
11,230,Comuna 13,2017',Movilidad y transito,Viable
4,230,Comuna 10,2017',Plazas y parques,Viable
6,229,Comuna 4,2017',Plazas y parques,Viable
12,225,Comuna 5,2017',Plazas y parques,Viable
8,225,Comuna 5,2017',Arte urbano,Viable
1,225,Comuna 15,2017',Educacion,Viable
7,225,Comuna 2,2017',Plazas y parques,Viable
3,224,Comuna 6,2017',Innovacion,Viable
20,223,Comuna 4,2017',Ferias y Mercados,Viable
7,223,Comuna 7,2017',Deportes y calidad de vida,Viable
2,222,Comuna 14,2017',Educacion,Viable
6,221,Comuna 9,2017',Reciclado,Viable
1,221,Comuna 5,2017',Cultura,Viable
251,220,Comuna 1,2017',Arte urbano,Viable
3,220,Comuna 15,2017',Educacion,Viable
4,220,Comuna 2,2017',Plazas y parques,Viable
5,219,Comuna 12,2017',Innovacion,Viable
3,219,Comuna 4,2017',Deportes y calidad de vida,Viable
3,218,Comuna 14,2017',Innovacion,Viable
2,218,Comuna 3,2017',Deportes y calidad de vida,Viable
3,218,Comuna 15,2017',Deportes y calidad de vida,Viable
6,217,Comuna 1,2017',Ferias y Mercados,Viable
0,217,Comuna 4,2017',Deportes y calidad de vida,Viable
6,232,Comuna 3,2017',Plazas y parques,Inviable
1,215,Comuna 6,2017',Deportes y calidad de vida,Viable
1,215,Comuna 11,2017',Deportes y calidad de vida,Viable
10,215,Comuna 8,2017',Movilidad y transito,Viable
8,215,Comuna 13,2017',Educacion,Viable
6,215,Comuna 7,2017',Reciclado,Viable
6,215,Comuna 2,2017',Reciclado,Viable
5,214,Comuna 12,2017',Plazas y parques,Viable
5,211,Comuna 12,2017',Plazas y parques,Viable
12,211,Comuna 4,2017',Plazas y parques,Viable
0,210,Comuna 14,2017',Educacion,Viable
18,209,Comuna 3,2017',Plazas y parques,Viable
2,209,Comuna 7,2017',Deportes y calidad de vida,Viable
4,208,Comuna 15,2017',Ferias y Mercados,Viable
2,207,Comuna 1,2017',Movilidad y transito,Viable
2,207,Comuna 1,2017',Deportes y calidad de vida,Viable
111,207,Comuna 9,2017',Educacion,Viable
14,207,Comuna 13,2017',Arte urbano,Viable
1,207,Comuna 10,2017',Deportes y calidad de vida,Viable
94,205,Comuna 11,2017',Plazas y parques,Viable
2,204,Comuna 9,2017',Educacion,Viable
8,204,Comuna 3,2017',Ferias y Mercados,Viable
2,203,Comuna 6,2017',Ferias y Mercados,Viable
3,203,Comuna 12,2017',Deportes y calidad de vida,Viable
5,203,Comuna 7,2017',Plazas y parques,Viable
3,201,Comuna 13,2017',Ferias y Mercados,Viable
5,201,Comuna 4,2017',Movilidad y transito,Viable
20,201,Comuna 7,2017',Ferias y Mercados,Viable
3,201,Comuna 7,2017',Movilidad y transito,Viable
1,201,Comuna 7,2017',Innovacion,Viable
6,200,Comuna 14,2017',Ferias y Mercados,Viable
5,200,Comuna 12,2017',Movilidad y transito,Viable
8,200,Comuna 4,2017',Plazas y parques,Viable
7,199,Comuna 14,2017',Plazas y parques,Viable
3,199,Comuna 12,2017',Deportes y calidad de vida,Viable
0,199,Comuna 10,2017',Plazas y parques,Viable
8,199,Comuna 15,2017',Deportes y calidad de vida,Viable
3,197,Comuna 8,2017',Deportes y calidad de vida,Viable
5,197,Comuna 4,2017',Plazas y parques,Viable
3,197,Comuna 4,2017',Deportes y calidad de vida,Viable
41,196,Comuna 11,2017',Plazas y parques,Viable
8,196,Comuna 11,2017',Movilidad y transito,Viable
6,196,Comuna 11,2017',Ferias y Mercados,Viable
8,196,Comuna 6,2017',Plazas y parques,Viable
3,196,Comuna 6,2017',Arte urbano,Viable
5,196,Comuna 3,2017',Ferias y Mercados,Viable
12,196,Comuna 10,2017',Ferias y Mercados,Viable
5,195,Comuna 14,2017',Educacion,Viable
7,195,Comuna 4,2017',Plazas y parques,Viable
31,194,Comuna 1,2017',Movilidad y transito,Viable
7,194,Comuna 4,2017',Plazas y parques,Viable
6,194,Comuna 15,2017',Plazas y parques,Viable
4,194,Comuna 4,2017',Educacion,Viable
9,194,Comuna 10,2017',Reciclado,Viable
16,193,Comuna 3,2017',Arte urbano,Viable
7,193,Comuna 7,2017',Reciclado,Viable
3,192,Comuna 7,2017',Deportes y calidad de vida,Viable
5,191,Comuna 10,2017',Plazas y parques,Viable
1,190,Comuna 8,2017',Innovacion,Viable
1,190,Comuna 5,2017',Plazas y parques,Viable
15,190,Comuna 15,2017',Movilidad y transito,Viable
0,189,Comuna 11,2017',Innovacion,Viable
2,189,Comuna 5,2017',Movilidad y transito,Viable
10,188,Comuna 11,2017',Cultura,Viable
1,187,Comuna 13,2017',Arte urbano,Viable
8,187,Comuna 14,2017',Plazas y parques,Viable
7,187,Comuna 12,2017',Deportes y calidad de vida,Viable
1,187,Comuna 4,2017',Movilidad y transito,Viable
5,186,Comuna 11,2017',Cultura,Viable
6,186,Comuna 6,2017',Innovacion,Viable
4,186,Comuna 12,2017',Deportes y calidad de vida,Viable
5,186,Comuna 4,2017',Plazas y parques,Viable
4,186,Comuna 2,2017',Movilidad y transito,Viable
2,185,Comuna 1,2017',Ferias y Mercados,Viable
1,185,Comuna 8,2017',Deportes y calidad de vida,Viable
4,184,Comuna 1,2017',Innovacion,Viable
4,184,Comuna 11,2017',Plazas y parques,Viable
1,184,Comuna 11,2017',Plazas y parques,Viable
2,184,Comuna 6,2017',Innovacion,Viable
8,184,Comuna 13,2017',Deportes y calidad de vida,Viable
6,184,Comuna 3,2017',Reciclado,Viable
9,184,Comuna 7,2017',Ferias y Mercados,Viable
46,182,Comuna 11,2017',Plazas y parques,Viable
14,182,Comuna 11,2017',Plazas y parques,Viable
4,182,Comuna 14,2017',Ferias y Mercados,Viable
9,181,Comuna 11,2017',Deportes y calidad de vida,Viable
4,181,Comuna 15,2017',Ferias y Mercados,Viable
9,180,Comuna 8,2017',Educacion,Viable
4,180,Comuna 14,2017',Ferias y Mercados,Viable
5,180,Comuna 10,2017',Innovacion,Viable
6,180,Comuna 7,2017',Ferias y Mercados,Viable
9,178,Comuna 1,2017',Movilidad y transito,Viable
9,178,Comuna 8,2017',Movilidad y transito,Viable
6,178,Comuna 6,2017',Cultura,Viable
1,178,Comuna 6,2017',Plazas y parques,Viable
6,178,Comuna 4,2017',Mascotas,Viable
3,176,Comuna 3,2017',Arte urbano,Viable
4,175,Comuna 6,2017',Innovacion,Viable
8,175,Comuna 7,2017',Ferias y Mercados,Viable
4,174,Comuna 5,2017',Ferias y Mercados,Viable
16,173,Comuna 3,2017',Arte urbano,Viable
4,172,Comuna 1,2017',Cultura,Viable
9,172,Comuna 13,2017',Plazas y parques,Viable
6,172,Comuna 5,2017',Plazas y parques,Viable
9,172,Comuna 15,2017',Movilidad y transito,Viable
1,171,Comuna 14,2017',Ferias y Mercados,Viable
5,168,Comuna 8,2017',Movilidad y transito,Viable
7,168,Comuna 14,2017',Movilidad y transito,Viable
0,168,Comuna 5,2017',Arte urbano,Viable
5,167,Comuna 13,2017',Arte urbano,Viable
9,167,Comuna 14,2017',Plazas y parques,Viable
30,167,Comuna 4,2017',Movilidad y transito,Viable
24,167,Comuna 7,2017',Ferias y Mercados,Viable
4,166,Comuna 13,2017',Ferias y Mercados,Viable
5,166,Comuna 10,2017',Plazas y parques,Viable
1,164,Comuna 11,2017',Ferias y Mercados,Viable
17,164,Comuna 8,2017',Ferias y Mercados,Viable
10,164,Comuna 10,2017',Movilidad y transito,Viable
0,163,Comuna 5,2017',Innovacion,Viable
2,163,Comuna 14,2017',Movilidad y transito,Viable
2,163,Comuna 15,2017',Cultura,Viable
10,162,Comuna 1,2017',Plazas y parques,Viable
8,162,Comuna 6,2017',Movilidad y transito,Viable
11,162,Comuna 10,2017',Plazas y parques,Viable
9,161,Comuna 11,2017',Movilidad y transito,Viable
6,161,Comuna 6,2017',Plazas y parques,Viable
2,160,Comuna 8,2017',Arte urbano,Viable
6,159,Comuna 1,2017',Ferias y Mercados,Viable
0,159,Comuna 11,2017',Arte urbano,Viable
2,158,Comuna 11,2017',Arte urbano,Viable
3,158,Comuna 5,2017',Arte urbano,Viable
3,158,Comuna 4,2017',Innovacion,Viable
8,157,Comuna 6,2017',Mascotas,Viable
4,157,Comuna 14,2017',Plazas y parques,Viable
4,157,Comuna 8,2017',Ferias y Mercados,Viable
8,156,Comuna 9,2017',Plazas y parques,Viable
21,156,Comuna 6,2017',Plazas y parques,Viable
11,155,Comuna 1,2017',Plazas y parques,Viable
5,155,Comuna 1,2017',Plazas y parques,Viable
6,155,Comuna 9,2017',Deportes y calidad de vida,Viable
12,155,Comuna 14,2017',Ferias y Mercados,Viable
5,155,Comuna 10,2017',Plazas y parques,Viable
7,154,Comuna 13,2017',Plazas y parques,Viable
1,154,Comuna 2,2017',Plazas y parques,Viable
1,153,Comuna 1,2017',Plazas y parques,Viable
4,153,Comuna 9,2017',Arte urbano,Viable
1,153,Comuna 14,2017',Plazas y parques,Viable
9,153,Comuna 7,2017',Movilidad y transito,Viable
2,152,Comuna 1,2017',Educacion,Viable
4,152,Comuna 14,2017',Plazas y parques,Viable
4,152,Comuna 14,2017',Arte urbano,Viable
10,151,Comuna 14,2017',Ferias y Mercados,Viable
8,150,Comuna 10,2017',Arte urbano,Viable
0,150,Comuna 10,2017',Plazas y parques,Viable
5,150,Comuna 7,2017',Plazas y parques,Viable
3,150,Comuna 7,2017',Cultura,Viable
3,149,Comuna 11,2017',Arte urbano,Viable
3,149,Comuna 13,2017',Cultura,Viable
49,149,Comuna 12,2017',Plazas y parques,Viable
7,149,Comuna 3,2017',Ferias y Mercados,Viable
4,149,Comuna 10,2017',Ferias y Mercados,Viable
13,148,Comuna 1,2017',Ferias y Mercados,Viable
0,148,Comuna 13,2017',Plazas y parques,Viable
8,148,Comuna 6,2017',Arte urbano,Viable
9,190,Comuna 4,2017',Innovacion,Inviable
11,148,Comuna 10,2017',Deportes y calidad de vida,Viable
5,147,Comuna 4,2017',Ferias y Mercados,Viable
2,147,Comuna 10,2017',Movilidad y transito,Viable
3,146,Comuna 11,2017',Innovacion,Viable
12,146,Comuna 13,2017',Plazas y parques,Viable
3,146,Comuna 14,2017',Ferias y Mercados,Viable
1,146,Comuna 15,2017',Ferias y Mercados,Viable
2,145,Comuna 12,2017',Innovacion,Viable
5,145,Comuna 13,2017',Plazas y parques,Viable
5,145,Comuna 9,2017',Cultura,Viable
4,145,Comuna 3,2017',Movilidad y transito,Viable
21,145,Comuna 8,2017',Plazas y parques,Viable
2,145,Comuna 10,2017',Innovacion,Viable
3,144,Comuna 9,2017',Cultura,Viable
11,143,Comuna 6,2017',Plazas y parques,Viable
9,143,Comuna 6,2017',Arte urbano,Viable
0,143,Comuna 7,2017',Innovacion,Viable
0,142,Comuna 12,2017',Arte urbano,Viable
7,142,Comuna 5,2017',Movilidad y transito,Viable
3,142,Comuna 9,2017',Movilidad y transito,Viable
6,142,Comuna 6,2017',Movilidad y transito,Viable
13,142,Comuna 4,2017',Ferias y Mercados,Viable
0,142,Comuna 15,2017',Innovacion,Viable
0,142,Comuna 7,2017',Plazas y parques,Viable
8,142,Comuna 10,2017',Mascotas,Viable
3,141,Comuna 12,2017',Arte urbano,Viable
1,141,Comuna 6,2017',Arte urbano,Viable
6,141,Comuna 2,2017',Movilidad y transito,Viable
5,140,Comuna 1,2017',Plazas y parques,Viable
7,140,Comuna 7,2017',Mascotas,Viable
4,139,Comuna 1,2017',Plazas y parques,Viable
9,139,Comuna 4,2017',Plazas y parques,Viable
4,139,Comuna 10,2017',Plazas y parques,Viable
1,138,Comuna 4,2017',Ferias y Mercados,Viable
5,138,Comuna 3,2017',Ferias y Mercados,Viable
1,137,Comuna 15,2017',Mascotas,Viable
11,137,Comuna 7,2017',Arte urbano,Viable
2,136,Comuna 7,2017',Ferias y Mercados,Viable
67,135,Comuna 8,2017',Mascotas,Viable
9,134,Comuna 6,2017',Arte urbano,Viable
6,133,Comuna 1,2017',Ferias y Mercados,Viable
1,133,Comuna 5,2017',Arte urbano,Viable
1,133,Comuna 15,2017',Innovacion,Viable
0,133,Comuna 15,2017',Cultura,Viable
1,133,Comuna 3,2017',Ferias y Mercados,Viable
3,133,Comuna 10,2017',Innovacion,Viable
2,132,Comuna 1,2017',Ferias y Mercados,Viable
9,132,Comuna 7,2017',Movilidad y transito,Viable
8,132,Comuna 8,2017',Plazas y parques,Viable
5,131,Comuna 11,2017',Plazas y parques,Viable
10,131,Comuna 1,2017',Cultura,Viable
1,130,Comuna 12,2017',Innovacion,Viable
0,130,Comuna 12,2017',Plazas y parques,Viable
1,130,Comuna 4,2017',Plazas y parques,Viable
1,130,Comuna 14,2017',Ferias y Mercados,Viable
20,129,Comuna 1,2017',Arte urbano,Viable
7,129,Comuna 7,2017',Ferias y Mercados,Viable
6,129,Comuna 7,2017',Plazas y parques,Viable
3,129,Comuna 10,2017',Ferias y Mercados,Viable
14,128,Comuna 1,2017',Mascotas,Viable
6,128,Comuna 12,2017',Plazas y parques,Viable
7,128,Comuna 8,2017',Plazas y parques,Viable
5,177,Comuna 2,2017',Deportes y calidad de vida,Inviable
2,127,Comuna 14,2017',Arte urbano,Viable
1,127,Comuna 2,2017',Plazas y parques,Viable
1,127,Comuna 15,2017',Ferias y Mercados,Viable
4,126,Comuna 11,2017',Plazas y parques,Viable
6,126,Comuna 1,2017',Reciclado,Viable
2,126,Comuna 13,2017',Plazas y parques,Viable
0,126,Comuna 9,2017',Innovacion,Viable
1,126,Comuna 7,2017',Innovacion,Viable
16,126,Comuna 8,2017',Ferias y Mercados,Viable
3,126,Comuna 8,2017',Educacion,Viable
0,125,Comuna 4,2017',Plazas y parques,Viable
5,124,Comuna 9,2017',Ferias y Mercados,Viable
3,124,Comuna 9,2017',Deportes y calidad de vida,Viable
5,124,Comuna 2,2017',Movilidad y transito,Viable
11,124,Comuna 15,2017',Movilidad y transito,Viable
1,124,Comuna 7,2017',Plazas y parques,Viable
0,123,Comuna 12,2017',Arte urbano,Viable
13,122,Comuna 1,2017',Ferias y Mercados,Viable
3,122,Comuna 9,2017',Ferias y Mercados,Viable
26,121,Comuna 13,2017',Movilidad y transito,Viable
5,121,Comuna 14,2017',Arte urbano,Viable
7,121,Comuna 10,2017',Movilidad y transito,Viable
1,120,Comuna 14,2017',Arte urbano,Viable
4,120,Comuna 15,2017',Ferias y Mercados,Viable
4,120,Comuna 3,2017',Ferias y Mercados,Viable
9,120,Comuna 8,2017',Reciclado,Viable
3,120,Comuna 8,2017',Movilidad y transito,Viable
12,119,Comuna 1,2017',Plazas y parques,Viable
13,118,Comuna 1,2017',Movilidad y transito,Viable
1,118,Comuna 9,2017',Deportes y calidad de vida,Viable
2,117,Comuna 1,2017',Cultura,Viable
180,117,Comuna 15,2017',Plazas y parques,Viable
0,117,Comuna 15,2017',Plazas y parques,Viable
3,117,Comuna 3,2017',Ferias y Mercados,Viable
5,117,Comuna 10,2017',Plazas y parques,Viable
564,0,Comuna 5,2017',Cultura,Inviable
4,116,Comuna 1,2017',Plazas y parques,Viable
59,116,Comuna 9,2017',Plazas y parques,Viable
9,116,Comuna 14,2017',Plazas y parques,Viable
1,116,Comuna 8,2017',Movilidad y transito,Viable
6,115,Comuna 5,2017',Reciclado,Viable
0,115,Comuna 12,2017',Plazas y parques,Viable
12,115,Comuna 3,2017',Ferias y Mercados,Viable
1,114,Comuna 15,2017',Arte urbano,Viable
4,114,Comuna 10,2017',Ferias y Mercados,Viable
40,113,Comuna 12,2017',Plazas y parques,Viable
8,113,Comuna 6,2017',Plazas y parques,Viable
4,113,Comuna 10,2017',Plazas y parques,Viable
1,113,Comuna 8,2017',Ferias y Mercados,Viable
4,112,Comuna 4,2017',Ferias y Mercados,Viable
9,112,Comuna 9,2017',Ferias y Mercados,Viable
1,112,Comuna 7,2017',Arte urbano,Viable
5,112,Comuna 10,2017',Plazas y parques,Viable
11,111,Comuna 5,2017',Movilidad y transito,Viable
55,111,Comuna 13,2017',Plazas y parques,Viable
964,0,Comuna 13,2017',Plazas y parques,Inviable
10,111,Comuna 12,2017',Mascotas,Viable
1,111,Comuna 15,2017',Plazas y parques,Viable
6,111,Comuna 9,2017',Plazas y parques,Viable
3,111,Comuna 3,2017',Ferias y Mercados,Viable
1,111,Comuna 10,2017',Innovacion,Viable
18,110,Comuna 12,2017',Plazas y parques,Viable
13,190,Comuna 7,2017',Ferias y Mercados,Inviable
16,110,Comuna 4,2017',Plazas y parques,Viable
225,0,Comuna 13,2017',Movilidad y transito,Inviable
8,110,Comuna 9,2017',Movilidad y transito,Viable
11,110,Comuna 3,2017',Movilidad y transito,Viable
5,110,Comuna 8,2017',Plazas y parques,Viable
2,109,Comuna 13,2017',Arte urbano,Viable
